N,wide_area,wide_relative_error,narrow_area,narrow_relative_error,large_area,large_relative_error
100,1.08,0.143441,0.72,0.237706,0.5,0.470629
600,1.005,0.0640357,0.775,0.179475,1,0.058742
1100,1.00636,0.0654794,0.79,0.163594,1.18182,0.251241
1600,0.916875,0.0292659,0.79625,0.156977,0.71875,0.239029
2100,0.878571,0.0698195,0.768095,0.186785,1.07143,0.134366
2600,0.986538,0.0444897,0.787308,0.166444,0.923077,0.0226997
3100,0.955161,0.0112694,0.797742,0.155397,0.903226,0.0437169
3600,0.995,0.0534483,0.790556,0.163006,0.888889,0.058896
4100,0.906585,0.04016,0.789512,0.16411,0.939024,0.00581545
4600,0.964565,0.0212257,0.788261,0.165435,0.858696,0.0908629
5100,0.926471,0.0191067,0.79098,0.162556,0.916667,0.0294865
5600,0.985179,0.0430499,0.776607,0.177773,0.928571,0.0168824
6100,0.966393,0.0231613,0.783115,0.170884,0.893443,0.0540748
6600,0.909545,0.037026,0.784697,0.169208,0.996212,0.0547316
7100,0.932958,0.0122385,0.785352,0.168515,0.852113,0.0978325
7600,0.937895,0.00701146,0.789211,0.16443,0.957237,0.0134668
8100,0.913333,0.0330157,0.789753,0.163855,0.935185,0.00988018
8600,0.9,0.0471322,0.799302,0.153745,1.02907,0.0895194
9100,0.954396,0.0104587,0.786703,0.167084,0.942308,0.00233928
9600,0.945937,0.00150375,0.788021,0.165689,1.02865,0.0890705
10100,0.920495,0.0254332,0.781287,0.172819,0.99505,0.0535007
10600,0.926321,0.0192653,0.789811,0.163794,1.01887,0.0787182
11100,0.954324,0.0103832,0.787387,0.16636,0.975225,0.0325119
11600,0.986897,0.0448688,0.784828,0.16907,0.997845,0.0564602
12100,0.961736,0.0182298,0.787603,0.166131,0.92562,0.0200074
12600,0.935714,0.00932,0.782063,0.171997,1.00595,0.065044
13100,0.960458,0.0168772,0.786565,0.167231,0.925573,0.0200575
13600,0.924485,0.0212086,0.783162,0.170834,0.926471,0.0191067
14100,0.963191,0.0197713,0.780993,0.17313,0.907801,0.0388725
14600,0.982603,0.0403228,0.78137,0.172731,0.922945,0.0228392
15100,0.890464,0.0572288,0.782517,0.171517,0.94702,0.00264969
15600,0.928269,0.0172024,0.783141,0.170856,0.977564,0.0349882
16100,0.992795,0.0511138,0.785963,0.167868,0.945652,0.00120166
16600,1.01223,0.0716893,0.786867,0.16691,0.96988,0.0268522
17100,0.934737,0.0103549,0.792047,0.161427,0.94883,0.00456659
17600,0.976193,0.0335367,0.789148,0.164496,0.96733,0.0241524
18100,0.956188,0.0123562,0.783149,0.170847,0.939227,0.00560145
18600,0.943065,0.001538,0.786183,0.167635,0.983871,0.0416655
19100,0.940052,0.0047271,0.784136,0.169802,0.95288,0.00885362
19600,0.913316,0.0330337,0.782398,0.171642,0.955357,0.0114767
20100,0.988209,0.0462583,0.782985,0.171021,0.967662,0.0245041
20600,0.948932,0.00467419,0.785777,0.168065,0.934466,0.0106416
21100,0.961422,0.0178976,0.787441,0.166303,0.953791,0.00981907
21600,0.933333,0.0118408,0.782269,0.171779,0.946759,0.00237378
22100,0.938688,0.00617183,0.787738,0.165989,0.918552,0.0274904
22600,0.967301,0.0241221,0.784735,0.169169,0.909292,0.0372943
23100,0.949091,0.00484239,0.788658,0.165015,0.969697,0.0266589
23600,0.948432,0.00414499,0.783178,0.170817,0.974576,0.0318248
24100,0.935104,0.00996642,0.785311,0.168558,1.00311,0.0620368
24600,0.932561,0.0126585,0.787317,0.166434,0.95935,0.0157037
25100,0.938725,0.00613232,0.789681,0.163931,0.978088,0.0355425
25600,0.947461,0.00311667,0.785625,0.168226,0.90332,0.0436169
26100,0.96069,0.0171225,0.789502,0.164121,0.921456,0.0244159
26600,0.984925,0.0427813,0.787594,0.166141,0.93515,0.00991703
27100,0.902989,0.0439677,0.784908,0.168985,0.954797,0.0108837
27600,0.941413,0.00328649,0.78192,0.172148,0.941123,0.00359337
28100,0.94484,0.000341626,0.78516,0.168718,0.928826,0.0166133
28600,0.91951,0.0264756,0.78465,0.169258,0.95542,0.0115428
29100,0.950103,0.00591403,0.790653,0.162903,0.930412,0.0149334
29600,0.962331,0.0188603,0.783885,0.170068,0.920608,0.0253135
30100,0.963688,0.0202966,0.784618,0.169292,0.943522,0.00105407
30600,0.934412,0.010699,0.786111,0.167711,0.943627,0.000942
31100,0.957299,0.0135327,0.78791,0.165807,0.924437,0.0212594
31600,0.949272,0.00503428,0.785949,0.167882,0.912184,0.034233
32100,0.931121,0.0141826,0.784486,0.169432,0.902648,0.0443287
32600,0.954663,0.0107414,0.783252,0.170739,0.944785,0.000283838
33100,0.933444,0.0117235,0.787885,0.165833,0.9071,0.0396155
33600,0.926518,0.0190566,0.788155,0.165547,0.911458,0.0350008
34100,0.946979,0.00260693,0.784604,0.169307,0.926686,0.0188784
34600,0.966069,0.0228182,0.786329,0.16748,0.949422,0.0051929
35100,0.952308,0.00824814,0.783305,0.170682,0.925214,0.0204374
35600,0.968258,0.0251358,0.786461,0.167341,0.931882,0.0133774
36100,0.93964,0.0051638,0.78108,0.173037,0.950831,0.00668473
36600,0.923361,0.0223993,0.78776,0.165966,0.99112,0.0493406
37100,0.922075,0.02376,0.780377,0.173782,0.900943,0.0461334
37600,0.962473,0.019011,0.782872,0.17114,0.974069,0.0312879
38100,0.924567,0.0211222,0.785722,0.168123,0.953412,0.00941739
38600,0.945699,0.00125175,0.78772,0.166008,0.945596,0.00114203
39100,0.940281,0.00448468,0.78468,0.169226,0.923274,0.0224914
39600,0.92,0.0259574,0.789167,0.164476,0.95202,0.00794376
40100,0.943317,0.001271,0.788105,0.1656,0.923317,0.0224458
40600,0.948103,0.00379693,0.788374,0.165315,0.967365,0.0241894
41100,0.923869,0.0218615,0.785985,0.167844,0.940998,0.00372637
41600,0.917091,0.0290369,0.784183,0.169753,0.936298,0.00870192
42100,0.921805,0.0240461,0.787078,0.166687,0.976247,0.0335937
42600,0.944155,0.000383536,0.783404,0.170578,0.923122,0.0226519
43100,0.918167,0.027898,0.784246,0.169686,0.974478,0.0317207
43600,0.952638,0.00859744,0.783739,0.170223,0.965023,0.0217103
44100,0.923061,0.0227163,0.780431,0.173725,0.933673,0.0114807
